alias,code,name,version,useInEditor,hero,item,sort,race,checkDep,levels,reqLevel,levelSkip,priority,targs1,Cast1,Dur1,HeroDur1,Cool1,Cost1,Area1,Rng1,DataA1,DataB1,DataC1,DataD1,DataE1,DataF1,DataG1,DataH1,DataI1,UnitID1,BuffID1,EfctID1,targs2,Cast2,Dur2,HeroDur2,Cool2,Cost2,Area2,Rng2,DataA2,DataB2,DataC2,DataD2,DataE2,DataF2,DataG2,DataH2,DataI2,UnitID2,BuffID2,EfctID2,targs3,Cast3,Dur3,HeroDur3,Cool3,Cost3,Area3,Rng3,DataA3,DataB3,DataC3,DataD3,DataE3,DataF3,DataG3,DataH3,DataI3,UnitID3,BuffID3,EfctID3,targs4,Cast4,Dur4,HeroDur4,Cool4,Cost4,Area4,Rng4,DataA4,DataB4,DataC4,DataD4,DataE4,DataF4,DataG4,DataH4,DataI4,UnitID4,BuffID4,EfctID4,InBeta
AOmi,AOmi,Blade Master - Mirror Image,0,1,1,0,hero,orc,1,3,1,0,0,_,0,60,60,3,125,1000,128,1,0,2,0.5,-,-,-,-,-,,BOmi,,_,-,60,60,3,125,1000,128,2,0,2,0.5,-,-,-,-,-,,BOmi,,_,-,60,60,3,125,1000,128,3,0,2,0.5,-,-,-,-,-,,BOmi,,_,-,60,60,3,150,1000,128,3,0,2,0.5,-,-,-,-,-,,BOmi,,1
AOwk,AOwk,Blade Master - Wind Walk,0,1,1,0,hero,orc,1,3,1,0,0,"air,ground,enemy,neutral",0,20,20,5,75,-,-,0.6,0.1,40,1,-,-,-,-,-,,BOwk,,"air,ground,enemy,neutral",-,35,35,5,75,-,-,0.6,0.4,70,1,-,-,-,-,-,,BOwk,,"air,ground,enemy,neutral",-,50,50,5,75,-,-,0.6,0.7,100,1,-,-,-,-,-,,BOwk,,"air,ground,enemy,neutral",-,60,60,5,75,-,-,0.6,0.7,100,1,-,-,-,-,-,,BOwk,,1
AHbn,AHbn,Blood Mage - Banish,1,1,1,0,hero,human,1,3,1,0,0,"air,ground,nonsapper,organic",0,12,4,0,75,-,800,0.5,0,-,-,-,-,-,-,-,,BHbn,,"air,ground,nonsapper,organic",-,15,5,0,60,-,800,0.5,0,-,-,-,-,-,-,-,,BHbn,,"air,ground,nonsapper,organic",-,18,6,0,50,-,800,0.5,0,-,-,-,-,-,-,-,,BHbn,,"air,ground,nonsapper,organic",-,18,6,1,75,-,800,0.5,0,-,-,-,-,-,-,-,,BHbn,,1
AHfs,AHfs,Blood Mage - Flame Strike,1,1,1,0,hero,human,1,3,1,0,0,"ground,enemy,neutral,friend,structure,self,tree,debris",1.33,9,2.67,10,135,200,800,15,0.33,4,1,0.75,90,-,-,-,,BHfs,XHfs,"ground,enemy,neutral,friend,structure,self,tree,debris",1.33,9,2.67,10,135,200,800,26.666,0.33,6,1,0.75,160,-,-,-,,BHfs,XHfs,"ground,enemy,neutral,friend,structure,self,tree,debris",1.33,9,2.67,10,135,200,800,36.666,0.33,8,1,0.75,220,-,-,-,,BHfs,XHfs,"ground,enemy,neutral,friend,structure,self,tree,debris",1.33,9,2.67,10,135,200,800,36.666,0.33,8,1,0.75,220,-,-,-,,BHfs,XHfs,1
AHdr,AHdr,Blood Mage - Siphon Mana,1,1,1,0,hero,human,1,3,1,0,0,"air,ground,organic,notself",0,6,6,6,10,800,600,0,15,1,0,30,0,0,1,3,,"Bdcb,Bdcl,Bdcm,Bdtb,Bdtl,Bdtm,Bdbb,Bdbl,Bdbm",,"air,ground,organic,notself",0,6,6,6,10,800,600,0,30,1,0,60,0,0,1,3,,"Bdcb,Bdcl,Bdcm,Bdtb,Bdtl,Bdtm,Bdbb,Bdbl,Bdbm",,"air,ground,organic,notself",0,6,6,6,10,800,600,0,45,1,0,90,0,0,1,3,,"Bdcb,Bdcl,Bdcm,Bdtb,Bdtl,Bdtm,Bdbb,Bdbl,Bdbm",,"air,ground,organic,notself",0,6,6,6,10,800,600,0,55,1,0,50,0,0,1,3,,"Bdcb,Bdcl,Bdcm,Bdtb,Bdtl,Bdtm,Bdbb,Bdbl,Bdbm",,1
AHpx,AHpx,Blood Mage - Phoenix,1,1,1,0,hero,human,1,1,6,0,0,_,0,0,0,180,175,200,-,1,-,-,-,-,-,-,-,-,hphx,,,_,0,0,0,120,125,200,-,1,-,-,-,-,-,-,-,-,hphx,,,_,0,0,0,120,125,200,-,1,-,-,-,-,-,-,-,-,hphx,,,_,0,0,0,120,125,200,-,1,-,-,-,-,-,-,-,-,hphx,,,1
AUcb,AUcb,Crypt Lord - Carrion Scarabs,1,1,1,0,hero,undead,1,3,1,0,0,dead,0,0,0,6,30,900,900,1,0,ucs1,-,5,-,-,-,-,,BUcb,,dead,0,0,0,6,30,900,900,1,0,ucs2,-,5,-,-,-,-,,BUcb,,dead,0,0,0,6,30,900,900,1,0,ucs3,-,5,-,-,-,-,,BUcb,,dead,0,0,0,6,30,900,900,1,0,ucs3,-,5,-,-,-,-,,BUcb,,1
AUim,AUim,Crypt Lord - Impale,1,1,1,0,hero,undead,1,3,1,0,0,"ground,enemy,neutral,organic",0,2,1,9,100,250,700,600,0.3,50,1,-,-,-,-,-,,BUim,,"ground,enemy,neutral,organic",0,3,2,9,100,250,700,600,0.3,80,1,-,-,-,-,-,,BUim,,"ground,enemy,neutral,organic",0,4,3,9,100,250,700,600,0.3,110,1,-,-,-,-,-,,BUim,,"ground,enemy,neutral,organic",0,4,3,9,100,300,700,600,0.3,110,1,-,-,-,-,-,,BUim,,1
AUls,AUls,Crypt Lord - Locust Swarm,1,1,1,0,hero,undead,1,1,6,0,0,"air,ground,enemy",0,30,30,180,150,800,-,20,0.2,7,0.75,20,-,-,-,-,uloc,,,"air,ground,structure,neutral,enemy",0,30,30,180,150,800,-,20,0.2,7,1,20,-,-,-,-,uloc,,,"air,ground,structure,neutral,enemy",0,30,30,180,150,800,-,20,0.2,7,1,20,-,-,-,-,uloc,,,"air,ground,structure,neutral,enemy",0,30,30,180,150,800,-,20,0.2,7,1,20,-,-,-,-,uloc,,,1
AUts,AUts,Crypt Lord - Spiked Carapace,1,1,1,0,hero,undead,1,3,1,0,0,_,0,0,0,0,-,-,-,0.15,1,3,-,-,-,-,-,-,,BUts,,_,-,-,-,-,-,-,-,0.25,1,5,-,-,-,-,-,-,,BUts,,_,0,-,-,-,-,-,-,0.35,1,7,-,-,-,-,-,-,,BUts,,_,0,-,-,-,-,-,-,0.35,1,7,-,-,-,-,-,-,,BUts,,1
ANba,ANba,Dark Ranger - Black Arrow,1,1,1,0,hero,creeps,1,3,1,0,0,"air,ground,enemy,organic,neutral",0,2,0,0,6,-,600,2,1,80,-,-,-,-,-,-,ndr1,"BNba,BNdm",,"air,ground,enemy,organic,neutral",-,2,0,0,6,-,700,10,1,80,-,-,-,-,-,-,ndr2,"BNba,BNdm",,"air,ground,enemy,organic,neutral",-,2,0,0,6,-,700,20,1,80,-,-,-,-,-,-,ndr3,"BNba,BNdm",,"air,ground,enemy,organic,neutral",-,2,0,0,6,-,700,20,1,80,-,-,-,-,-,-,ndr3,"BNba,BNdm",,1
ANch,ANch,Dark Ranger - Charm,1,1,1,0,hero,creeps,1,1,6,0,0,"air,ground,nonhero,enemy,neutral,organic",0,0,0,45,150,-,700,5,-,-,-,-,-,-,-,-,,,,"air,ground,nonhero,enemy,neutral,organic",-,0,0,30,125,-,700,5,-,-,-,-,-,-,-,-,,,,"air,ground,nonhero,enemy,neutral,organic",-,0,0,30,125,-,700,5,-,-,-,-,-,-,-,-,,,,"air,ground,nonhero,enemy,neutral,organic",-,0,0,30,125,-,700,5,-,-,-,-,-,-,-,-,,,,1
ANdr,AHdr,Dark Ranger - Drain,1,1,1,0,hero,creeps,1,3,1,0,0,"air,ground,organic",0,8,8,8,75,800,500,25,0,1,0,0,0,0,0,0,,"Bdcb,Bdcl,Bdcm,Bdtb,Bdtl,Bdtm,Bdbb,Bdbl,Bdbm",,"air,ground,organic",0,8,8,8,75,800,500,40,0,1,0,0,0,0,0,0,,"Bdcb,Bdcl,Bdcm,Bdtb,Bdtl,Bdtm,Bdbb,Bdbl,Bdbm",,"air,ground,organic",0,8,8,8,75,800,500,55,0,1,0,0,0,0,0,0,,"Bdcb,Bdcl,Bdcm,Bdtb,Bdtl,Bdtm,Bdbb,Bdbl,Bdbm",,"air,ground,organic",0,8,8,8,75,800,500,50,0,1,0,0,0,0,0,0,,"Bdcb,Bdcl,Bdcm,Bdtb,Bdtl,Bdtm,Bdbb,Bdbl,Bdbm",,1
ANsi,ANsi,Dark Ranger - Silence,1,1,1,0,hero,creeps,1,3,1,0,0,"air,ground,enemy,organic,neutral",0,16,8,15,75,200,900,8,0,0,0,-,-,-,-,-,,BNsi,,"air,ground,enemy,organic,neutral",0,20,10,15,75,275,900,8,0,0,0,-,-,-,-,-,,BNsi,,"air,ground,enemy,organic,neutral",0,24,12,15,75,350,900,8,0,0,0,-,-,-,-,-,,BNsi,,"air,ground,enemy,organic,neutral",0,24,12,15,75,350,900,8,0,0,0,-,-,-,-,-,,BNsi,,1
AUan,AUan,Death Knight - Animate Dead,0,1,1,0,hero,undead,1,1,6,0,0,"air,ground,dead",0,40,40,180,175,900,400,6,1,0,-,-,-,-,-,-,,BUan,,"air,ground,dead",-,120,120,240,175,900,400,6,1,0,-,-,-,-,-,-,,BUan,,"air,ground,dead",-,120,120,240,175,900,400,6,1,0,-,-,-,-,-,-,,BUan,,"air,ground,dead",-,120,120,240,175,900,400,6,1,0,-,-,-,-,-,-,,BUan,,1
AUdc,AUdc,Death Knight - Death Coil,0,1,1,0,hero,undead,1,3,1,0,0,"air,ground,organic,notself,invu,vuln,nonancient",0,0,0,6,75,-,800,200,-,-,-,-,-,-,-,-,,,,"air,ground,organic,notself,invu,vuln,nonancient",-,-,-,6,75,-,800,400,-,-,-,-,-,-,-,-,,,,"air,ground,organic,notself,invu,vuln,nonancient",-,-,-,6,75,-,800,600,-,-,-,-,-,-,-,-,,,,"air,ground,organic,notself,invu,vuln,nonancient",-,-,-,6,75,-,800,600,-,-,-,-,-,-,-,-,,,,1
AUdp,AUdp,Death Knight - Death Pact,0,1,1,0,hero,undead,1,3,1,0,0,"air,ground,player,nonhero,invu,vuln",0,0,0,15,50,-,800,0,1,0,0,0,-,-,-,-,,,,"air,ground,player,nonhero,invu,vuln",-,-,-,15,50,-,800,0,2,0,0,0,-,-,-,-,,,,"air,ground,player,nonhero,invu,vuln",-,-,-,15,50,-,800,0,3,0,0,0,-,-,-,-,,,,"air,ground,player,nonhero,invu,vuln",-,-,-,15,50,-,800,0,3,0,0,0,-,-,-,-,,,,1
AUau,AUau,Death Knight - Unholy Aura,0,1,1,0,hero,undead,1,3,1,0,0,"air,ground,friend,self,vuln,invu",0,0,0,0, - ,900, - ,0.1,0.5,0,-,-,-,-,-,-,,BUau,,"air,ground,friend,self,vuln,invu", - , - , - , - , - ,900, - ,0.2,1,0,-,-,-,-,-,-,,BUau,,"air,ground,friend,self,vuln,invu", - , - , - , - , - ,900, - ,0.3,1.5,0,-,-,-,-,-,-,,BUau,,"air,ground,friend,self,vuln,invu", - , - , - , - , - ,900, - ,0.3,1.5,0,-,-,-,-,-,-,,BUau,,1
AEev,AEev,Demon Hunter - Evasion,0,1,1,0,hero,nightelf,1,3,1,0,0,_,0,0,0,0,-,-,-,0.1,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,0.2,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,,,,1
AEim,AEim,Demon Hunter - Immolation,0,1,1,0,hero,nightelf,1,3,1,0,0,"ground,enemy,neutral,organic",0,1,1,0,25,160,-,10,7,10,-,-,-,-,-,-,,"BEim,BEia",,"ground,enemy,neutral,organic",-,1,1,-,25,160,-,15,7,10,-,-,-,-,-,-,,"BEim,BEia",,"ground,enemy,neutral,organic",-,1,1,-,25,160,-,20,7,10,-,-,-,-,-,-,,"BEim,BEia",,"ground,enemy,neutral,organic",-,1,1,-,25,160,-,20,7,10,-,-,-,-,-,-,,"BEim,BEia",,1
AEmb,AEmb,Demon Hunter - Mana Burn,0,1,1,0,hero,nightelf,1,3,1,0,0,"air,ground,enemy,neutral",0,0,0,7,50,-,300,50,0.25,1,-,-,-,-,-,-,,,,"air,ground,enemy,neutral",-,-,-,6,50,-,300,100,0.25,1,-,-,-,-,-,-,,,,"air,ground,enemy,neutral",-,-,-,5,50,-,300,150,0.25,1,-,-,-,-,-,-,,,,"air,ground,enemy,neutral",-,-,-,5,50,-,300,150,0.25,1,-,-,-,-,-,-,,,,1
AEme,AEme,Demon Hunter - Metamorphosis,0,1,1,0,hero,nightelf,1,1,6,0,0,_,0,1.5,60,180,150,-,-,Edem,1,0,,500,-,-,-,-,Edmm,BEme,,_,,1.5,60,180,150,-,-,Edem,1,0,,500,-,-,-,-,Edmm,BEme,,_,,1.5,60,180,150,-,-,Edem,1,0,,500,-,-,-,-,Edmm,BEme,,_,,1.5,60,180,150,-,-,Edem,1,0,,500,-,-,-,-,Edmm,BEme,,1
AUsl,AUsl,Dreadlord - Sleep,0,1,1,0,hero,undead,1,3,1,0,0,"air,ground,enemy,organic,neutral",0,20,5,6,100,-,800,2,-,-,-,-,-,-,-,-,,"BUsl,BUsp,Bust",,"air,ground,enemy,organic,neutral",-,40,10,6,75,-,800,2,-,-,-,-,-,-,-,-,,"BUsl,BUsp,Bust",,"air,ground,enemy,organic,neutral",-,60,15,6,50,-,800,2,-,-,-,-,-,-,-,-,,"BUsl,BUsp,Bust",,"air,ground,enemy,organic,neutral",-,60,15,6,50,-,800,2,-,-,-,-,-,-,-,-,,"BUsl,BUsp,Bust",,1
AUav,AUav,Dreadlord - Vampiric Aura,0,1,1,0,hero,undead,1,3,1,0,0,"air,ground,friend,self,vuln,invu,organic",0,0,0,0,-,900,-,0.15,-,-,-,-,-,-,-,-,,BUav,,"air,ground,friend,self,vuln,invu,organic",-,-,-,-,-,900,-,0.3,-,-,-,-,-,-,-,-,,BUav,,"air,ground,friend,self,vuln,invu,organic",-,-,-,-,-,900,-,0.45,-,-,-,-,-,-,-,-,,BUav,,"air,ground,friend,self,vuln,invu,organic",-,-,-,-,-,900,-,0.45,-,-,-,-,-,-,-,-,,BUav,,1
AUcs,AUcs,Dreadlord - Carrion Swarm,0,1,1,0,hero,undead,1,3,1,0,0,"ground,air,organic",0,0,0,10,110,100,700,75,300,800,300,-,-,-,-,-,,BUcs,,"ground,air,organic",-,0,-,10,110,100,700,125,600,800,300,-,-,-,-,-,,BUcs,,"ground,air,organic",-,0,-,10,110,100,700,200,1000,800,300,-,-,-,-,-,,BUcs,,"ground,air,organic",-,0,-,10,110,100,700,200,1000,800,300,-,-,-,-,-,,BUcs,,1
AUin,AUin,Dreadlord - Inferno,0,1,1,0,hero,undead,1,1,6,0,0,"ground,structure,debris,enemy,neutral",0,4,2,180,175,250,900,50,180,1,-,-,-,-,-,-,ninf,BNin,,"ground,structure,debris,enemy,neutral",-,4,2,180,175,250,900,50,180,1,-,-,-,-,-,-,ninf,BNin,,"ground,structure,debris,enemy,neutral",-,4,2,180,175,250,900,50,180,1,-,-,-,-,-,-,ninf,BNin,,"ground,structure,debris,enemy,neutral",-,4,2,180,175,250,900,50,180,1,-,-,-,-,-,-,ninf,BNin,,1
AOcl,AOcl,Farseer - Chain Lightning,0,1,1,0,hero,orc,1,3,1,0,0,"air,ground,enemy,neutral,organic",0,0,0,9,120,500,700,85,4,0.15,-,-,-,-,-,-,,,,"air,ground,enemy,neutral,organic",-,-,-,9,120,500,700,125,6,0.15,-,-,-,-,-,-,,,,"air,ground,enemy,neutral,organic",-,-,-,9,120,500,700,180,8,0.15,-,-,-,-,-,-,,,,"air,ground,enemy,neutral,organic",-,-,-,9,120,500,700,180,8,0.15,-,-,-,-,-,-,,,,1
AOeq,AOeq,Farseer - Earthquake,0,1,1,0,hero,orc,1,1,6,0,0,"ground,structure,debris,tree",0,25,20,90,150,250,1000,0.5,50,0.75,250,-,-,-,-,-,,"BOeq,BOea",XOeq,"ground,structure,debris,tree",-,20,20,90,150,400,1000,0.5,40,0.75,400,-,-,-,-,-,,"BOeq,BOea",XOeq,"ground,structure,debris,tree",-,20,20,90,150,400,1000,0.5,40,0.75,400,-,-,-,-,-,,"BOeq,BOea",XOeq,"ground,structure,debris,tree",-,20,20,90,150,400,1000,0.5,40,0.75,400,-,-,-,-,-,,"BOeq,BOea",XOeq,1
AOfs,AOfs,Farseer - Far Sight,0,1,1,0,hero,orc,1,3,1,0,0,_,0,8,8,0,75,600,99999,3,-,-,-,-,-,-,-,-,,,Xbdt,_,-,8,8,-,60,1800,99999,3,-,-,-,-,-,-,-,-,,,Xbdt,_,-,8,8,-,50,4000,99999,3,-,-,-,-,-,-,-,-,,,Xbdt,_,-,8,8,-,50,4000,99999,3,-,-,-,-,-,-,-,-,,,Xbdt,1
AOsf,AOsf,Farseer - Spirit Wolf,0,1,1,0,hero,orc,1,3,1,0,0,_,0,60,60,30,75,200,800,,2,-,-,-,-,-,-,-,osw1,BOsf,,_,-,60,60,30,75,200,800,,2,-,-,-,-,-,-,-,osw2,BOsf,,_,-,60,60,30,75,200,800,,2,-,-,-,-,-,-,-,osw3,BOsf,,_,-,60,60,30,100,200,800,,2,-,-,-,-,-,-,-,osw3,BOsf,,1
AEer,AEer,Keeper - Entangling Roots,0,1,1,0,hero,nightelf,1,3,1,0,0,"ground,enemy,neutral,organic",0,9,3,8,75,-,800,15,-,-,-,-,-,-,-,-,,BEer,,"ground,enemy,neutral,organic",-,24,4,8,75,-,800,15,-,-,-,-,-,-,-,-,,BEer,,"ground,enemy,neutral,organic",-,36,5,8,75,-,800,25,-,-,-,-,-,-,-,-,,BEer,,"ground,enemy,neutral,organic",-,36,7,8,75,-,800,25,-,-,-,-,-,-,-,-,,BEer,,1
AEfn,AEfn,Keeper - Force of Nature,0,1,1,0,hero,nightelf,1,3,1,0,0,tree,0,60,60,20,125,150,800,2,-,-,-,-,-,-,-,-,efon,BEfn,,tree,-,60,60,20,125,225,800,3,-,-,-,-,-,-,-,-,efon,BEfn,,tree,-,60,60,20,125,300,800,4,-,-,-,-,-,-,-,-,efon,BEfn,,tree,-,60,60,20,125,300,800,4,-,-,-,-,-,-,-,-,efon,BEfn,,1
AEah,AEah,Keeper - Thorns Aura,0,1,1,0,hero,nightelf,1,3,1,0,0,"air,ground,friend,self,vuln,invu",0,0,0,0,-,900,-,0.1,1,-,-,-,-,-,-,-,,BEah,,"air,ground,friend,self,vuln,invu",-,-,-,-,-,900,-,0.2,1,-,-,-,-,-,-,-,,BEah,,"air,ground,friend,self,vuln,invu",-,-,-,-,-,900,-,0.3,1,-,-,-,-,-,-,-,,BEah,,"air,ground,friend,self,vuln,invu",-,-,-,-,-,900,-,0.3,1,-,-,-,-,-,-,-,,BEah,,1
AEtq,AEtq,Keeper - Tranquility,0,1,1,0,hero,nightelf,1,1,6,0,0,"air,ground,friend,self,vuln,invu,neutral",0,30,30,60,125,900, - ,20,1,1,-,-,-,-,-,-,,AEtr,XEtq,"air,ground,friend,self,vuln,invu,neutral",-,30,30,120,300,900, - ,15,1,-,-,-,-,-,-,-,,AEtr,XEtq,"air,ground,friend,self,vuln,invu,neutral",-,30,30,120,300,900, - ,15,1,-,-,-,-,-,-,-,,AEtr,XEtq,"air,ground,friend,self,vuln,invu,neutral",-,30,30,120,300,900, - ,15,1,-,-,-,-,-,-,-,,AEtr,XEtq,1
AUdr,AUdr,Lich - Dark Ritual,0,1,1,0,hero,undead,1,3,1,0,0,"air,ground,player,nonhero,vuln,invu",0,0,0,15,25,-,800,0.33,0,0,0,0,-,-,-,-,,,,"air,ground,player,nonhero,vuln,invu",-,0,0,15,25,-,800,0.66,0,0,0,0,-,-,-,-,,,,"air,ground,player,nonhero,vuln,invu",-,0,0,15,25,-,800,1,0,0,0,0,-,-,-,-,,,,"air,ground,player,nonhero,vuln,invu",-,0,0,15,25,-,800,1,0,0,0,0,-,-,-,-,,,,1
AUdd,AUdd,Lich - Death and Decay,0,1,1,0,hero,undead,1,1,6,0,0,"air,ground,structure,ward",0,35,35,150,250,300,1000,0.04,1,-,-,-,-,-,-,-,,BUdd,XUdd,"air,ground,structure,ward",-,35,35,150,250,400,1000,0.04,-,-,-,-,-,-,-,-,,BUdd,XUdd,"air,ground,structure,ward",-,35,35,150,250,400,1000,0.04,-,-,-,-,-,-,-,-,,BUdd,XUdd,"air,ground,structure,ward",-,35,35,150,250,400,1000,0.04,-,-,-,-,-,-,-,-,,BUdd,XUdd,1
AUfa,AUfa,Lich - Frost Armor,0,1,1,0,hero,undead,1,3,1,0,0,"air,ground,friend,self,neutral",0,5,5,2,40,-,800,45,3,-,-,-,-,-,-,-,,BUfa,,"air,ground,friend,self,neutral",-,5,5,2,40,-,800,45,5,-,-,-,-,-,-,-,,BUfa,,"air,ground,friend,self,neutral",-,5,5,2,40,-,800,45,7,-,-,-,-,-,-,-,,BUfa,,"air,ground,friend,self,neutral",-,5,5,2,40,-,800,45,7,-,-,-,-,-,-,-,,BUfa,,1
AUfu,AUfu,Lich - Frost Armor (Autocast),0,1,1,0,hero,undead,1,3,1,0,0,"air,ground,friend,self,neutral",0,5,5,2,40,-,800,45,3,-,-,-,-,-,-,-,,BUfa,,"air,ground,friend,self,neutral",-,5,5,2,40,-,800,45,5,-,-,-,-,-,-,-,,BUfa,,"air,ground,friend,self,neutral",-,5,5,2,40,-,800,45,7,-,-,-,-,-,-,-,,BUfa,,"air,ground,friend,self,neutral",-,5,5,2,40,-,800,45,7,-,-,-,-,-,-,-,,BUfa,,1
